q1
10
9
10
31
16
3
1
11
2
25
18
34
24
22
1
42
1
5
6
5
16
13
23
38
6
47
8
0
36
15
12
2
1
1
16
46
25
19
13
6
8
5
12
7
6
41
75
19
9
5
88
21
8
11
1
1
9
2
9
12
0
11
0
1
6
1
1
6
8
3
80
